dateOfLoss,baseFloodElevation,lowestFloorElevation,causeOfDamage,floodRisk,precipitation
8/1/1985,8,16.9,0,0,7.34
8/17/1985,10,16,2,0,12.66
8/17/1985,10,16,1,0,12.66
8/24/1985,11,11.1,1,0,9.8
8/28/1985,15,15.2,2,1,9.8
8/29/1985,9,19.7,1,1,9.8
8/29/1985,14,14.6,1,1,9.8
8/29/1985,15,16.1,4,1,9.8
8/29/1985,14,15.1,1,1,9.8
8/29/1985,12,15,1,1,9.8
8/29/1985,,2,0,1,9.8
8/30/1985,,6,1,1,9.8
8/30/1985,,3.6,0,1,9.8
8/30/1985,,6,0,1,9.8
8/30/1985,15,15.2,0,1,9.8
8/30/1985,8,14.2,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,4,1,9.8
8/30/1985,10,13,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,12,12,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,10,8,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,1,12.5,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,8,8.4,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,4,1,9.8
8/30/1985,13,16,0,1,9.8
8/30/1985,8,13,0,1,9.8
8/30/1985,12,13,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,12,8,0,1,9.8
8/30/1985,10,13,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,0,0,0,1,9.8
8/30/1985,8,8.6,0,1,9.8
8/30/1985,8,8.6,0,1,9.8
8/30/1985,12,13,2,1,9.8
8/30/1985,9,15,2,1,9.8
8/30/1985,12,15,1,1,9.8
